"","M1","M11","M12","M13","M14","M15","M16","M17","M18","M19","M2","M20","M21","M22","M23","M24","M26","M27","M3","M4","M5","M6","M7"
"GSM423041",0.0528597041732311,-0.0232091182641928,0.127344968167111,-0.0326468524068419,-0.0331987023773085,0.0469078254308958,-0.0215822175575585,-0.100308374430849,-0.00416055838254665,-0.0946192893538614,0.0644207070378148,-0.0472468079783281,-0.0490980722139,-0.0415578454717386,-0.00947881961970143,-0.0396244355598824,-0.0312336337062593,-0.0567900646274363,0.0357729708263292,0.0763514636600731,0.087478300899878,0.00693153225872381,0.0709155296731345
"GSM423043",0.139779039278055,-0.0523905731343812,0.160587278845191,-0.0601947952836592,-0.0665755643876838,-0.0174062964520719,-0.0568636880605337,-0.0668475220010482,-0.0080171339713429,-0.0617431841226562,0.0911673805432734,-0.130554970757066,-0.0932728545772971,-0.0154892725328013,-0.0564748615036357,-0.119414959877194,0.00997796824978224,-0.0463460660484611,0.158836626146074,0.103746108576518,0.143564787795884,0.171385014607069,0.0650411782485255
"GSM423045",0.0494451434202378,-0.0560106706699217,0.0153933682269025,-0.0917532690251503,-0.02233671366215,-0.0574352251577185,0.0583205936268013,0.0315635651655867,-0.0338774251961076,0.0366811981582184,0.067772981415922,0.00299958278139484,0.0249818798070093,0.0435226642583516,-0.0294770480895744,-0.00210893932535012,0.00866828941111771,0.0218322037614994,0.0534404220424453,0.078240199320037,0.0520624655954212,0.05153323100658,0.0681724001569767
"GSM423053",-0.105509921071854,0.170190634147796,-0.0717235369695836,0.0863659778451847,0.0608087518096549,0.00659355205218589,-0.104310846958257,-0.0760604778213606,-0.122897094751851,-0.0728831951383126,-0.0702042184890532,0.062941293624394,0.0145388266974171,-0.0702435317219472,0.175243479129478,0.143242040566567,-0.1209825995699,0.15552281031719,-0.0819008643623298,-0.0767643050734,-0.0703967788710986,-0.0752862061903313,0.0111434203515517
"GSM423055",-0.0187043192849695,0.133015634164323,-0.0610581458361916,0.0508218627682908,0.00423589834683371,0.0770694071442928,-0.0180950223684646,0.0511338257115783,-0.0625473270994169,0.0515843594107315,-0.0388074326775997,0.0685680667388765,0.0989210801971504,0.0436785178572999,0.00396423551953707,0.0985731320345706,0.0205294529039296,0.0728344533127804,-0.0756117946906074,-0.0388223580535883,-0.0205471294619498,-0.0758472004358944,-0.000295618448259772
"GSM423057",-0.00323332078911701,0.0900338563997937,-0.0041277269660708,-0.0028852234248198,0.0352243690466986,0.0536365977553152,-0.122993344895664,-0.0778653519687862,-0.105102727537857,-0.0739127719046975,-0.0122734729808274,-0.0349005894844003,-0.0637922714716822,-0.104449963822859,-0.0216961132731154,0.0299828599487447,-0.0693701872275421,0.0429906322748553,0.00681881148791132,0.0146690504236938,0.0776270878910518,0.0360688329462999,0.154017655213709
"GSM423059",-0.0595861577252131,0.132819914481112,-0.0306602556176918,0.0517783770530825,0.0422042327587012,0.0495804322051042,-0.0903710171893547,-0.0152607379215179,-0.0964331823440243,0.000351446038203684,-0.045307936387964,0.0440527802795721,0.0278632469470271,-0.0238601624806602,0.099466075880278,0.104529580301371,-0.0359440479850198,0.115224010958204,-0.0469659984484547,-0.0437971946518062,0.00529114680161815,-0.0374710931597874,0.0558313759321625
"GSM423061",-0.101167431369655,-0.0614016387452209,-0.0665146258481292,-0.0910873490691111,-0.068034675500113,-0.0729112719520849,0.109069367085377,0.0854757051785706,-0.00435202170128877,0.0586374158418214,-0.0470859132545031,0.0743811283677621,0.0745681245402279,0.0633920865940185,-0.0339657324731537,0.0290622898011757,0.0454699916567746,-0.0500089458141123,-0.100523612403514,-0.0695849594647563,-0.0977782393630326,-0.0963108487056464,-0.0889426743941588
"GSM423063",-0.083218624544384,0.158178384482325,-0.0588260312950153,0.0143184070537333,-0.0102550070392216,-0.0143386405094191,-0.12598344922668,-0.0488483994506823,-0.13190406939277,-0.0659537702652247,-0.0457293568930729,0.0390414793360548,-0.0149904896915251,-0.0642063046392868,0.0992070172729164,0.111974765909139,-0.0639007676095411,0.108143698310519,-0.0414326821628016,-0.0690120214114773,-0.0550230463157318,-0.0192066161444557,0.0647303737667453
"GSM423065",-0.0473705717800726,0.0874091014224287,-0.00256720223140273,-0.0957009954072686,-0.0836864406151486,0.00468806191616164,-0.132782592436323,-0.0411222783365269,-0.136233679281937,-0.0593802775873956,0.0117526961509558,-0.0775298549591405,-0.126176920804504,-0.17095576484512,-0.0591316243944071,1.56324148191715e-05,-0.0300816555849372,-0.0131861916681853,0.0552268546613996,0.0040721233461691,-0.00437746183203734,0.128816250400555,0.0998566390555106
"GSM423067",-0.0059823550434862,0.147898041131731,-0.0712853020311192,0.0466311064747851,0.0504666003079201,0.00821813753454823,-0.101676119908621,-0.0744850688267827,-0.109556537992682,-0.0600090944821345,-0.023500613911902,0.0129533132855043,-0.00350241982549806,-0.0408775521989983,0.0810562974361098,0.115326298532327,-0.111206263303204,0.191473963368483,0.0124252294084593,-0.00175702009748182,0.0781233152342437,0.0420569727288381,0.0343872448361743
"GSM423069",-0.0469779611886708,0.0998338551416731,-0.0179932761056089,0.0991361869315909,0.109606702537564,0.0840413320057633,-0.111760928101823,-0.0763049706791575,-0.115283100338574,-0.0796220005443616,0.0414721051830384,-0.0286158427195078,-0.0790991257471224,-0.101169963387156,0.0797523625649903,0.036763822054876,-0.117411003894138,0.059403813092164,0.00065532321287125,-0.00561760187906902,0.0222140654375101,-0.027751776082858,0.031268116889303
"GSM423071",-0.0467156542004993,0.133441167568085,0.0705715289205004,0.0103446301238067,-0.0430384344207075,0.293922064558594,-0.10848446872058,0.0877133096690275,-0.106272943039187,0.133100123237988,0.0616616754139391,0.0071947719146054,0.0858072473608277,0.0599438005728265,-0.0962267511325263,0.0769984148662551,0.0625723496431866,0.0846087961948431,0.06110220404517,0.0238511101454958,0.0360050976240797,0.0541883524826401,0.110923461930732
"GSM423073",-0.0575956219418438,0.126503675779057,-0.0100449758847923,0.0845906838195839,0.0411948564177486,0.286560164511353,-0.116560789628722,-0.0267120479160249,-0.11670606653532,-0.0389679161895784,0.0079612635946677,-0.00248404081057099,-0.037422286490945,-0.083679715634346,0.086452779913335,0.066329647970585,-0.0525290663215468,0.0896129150452071,-0.00828263382071782,-0.0103999826074609,0.0148840957342741,-0.0276678068971606,0.0230182150906765
