"Gene","ModuleA","pA","p.adjA","coefA","AUCA","ModuleH","pH","p.adjH","coefH","AUCH","ARank","HRank","RankSum"
"ADCY9","unassigned",0.295180671261514,0.54128694727669,0.97367968450344,0.58008658008658,"unassigned",0.40990798334504,0.758071253260122,0.0810470704239934,0.533504273504274,7160.5,5933.5,13094
"CASP10","unassigned",0.746622598555901,0.874953572693023,0.283007259576133,0.495670995670996,"unassigned",0.101170242233782,0.458691864929602,-0.028164878464186,0.584615384615385,1231,11861,13092
"EML4","unassigned",0.29399379666335,0.540165822763214,1.54744815165093,0.575757575757576,"unassigned",0.606678894072721,0.860221408227632,-0.0130098397070672,0.535726495726496,6837,6254.5,13091.5
"CARD10","M24",0.301731187639185,0.547207408091404,1.10784812255708,0.57034632034632,"M24",0.536900369421354,0.823547419497168,-0.0184027827953755,0.539145299145299,6392,6696.5,13088.5
"CIRBP","unassigned",0.465622734979429,0.689167215440994,0.682215005496394,0.492424242424242,"unassigned",0.0743664584221408,0.406160135084659,0.0127059246666569,0.585982905982906,1110.5,11977,13087.5
"LINC00668","M20",0.460268158434749,0.684721258301349,-0.234632827821007,0.542207792207792,"M20",0.0995189618416628,0.455982929244044,0.0406765206950898,0.555897435897436,4178.5,8909,13087.5
"VLDLR","unassigned",0.948932395888005,0.978544103318659,0.0370741788094333,0.542207792207792,"unassigned",0.356090815862503,0.724402912990628,-0.195011795779728,0.555897435897436,4178.5,8909,13087.5
"SYNE2","unassigned",0.0198627429198402,0.124470551149867,5.56264883270563,0.664502164502164,"unassigned",0.516880326978146,0.814891485019043,0.0165820499544917,0.490940170940171,12025,1061,13086
"FBF1","unassigned",0.361985391648508,0.605277456136485,1.36318513847133,0.574675324675325,"unassigned",0.302312055271434,0.681162720094501,-0.169856790307695,0.536410256410256,6745.5,6338.5,13084
"CCDC113","unassigned",0.950563067126648,0.978722299742318,-0.0465696162481335,0.506493506493507,"unassigned",0.139119826501506,0.521343879040992,0.818019036095874,0.577777777777778,1770,11313.5,13083.5
"NAV1","unassigned",0.20845067119595,0.449380810620096,-1.93645307199236,0.608225108225108,"unassigned",0.500588508233633,0.805212963658161,-0.09020137986744,0.51982905982906,9086,3996.5,13082.5
"BRINP3","unassigned",0.502672471772847,0.716950971029661,0.114716335100221,0.5995670995671,"unassigned",0.913127615400988,0.974759210996895,0.0110130805121628,0.523760683760684,8511,4570,13081
"AKIRIN1","unassigned",0.150864079341369,0.37839915547128,-1.06263926668826,0.617965367965368,"unassigned",0.821972843127749,0.9437817230698,-0.00688706710801739,0.515042735042735,9698.5,3380,13078.5
"RAB23","M8",0.180246465311205,0.415669022463164,-0.686728918367109,0.594155844155844,"M8",0.646274048873981,0.876436928686233,-0.0436967151624873,0.525982905982906,8192.5,4885,13077.5
"PIK3C2A","unassigned",0.793206946924642,0.89906695021818,0.469554939233305,0.550865800865801,"unassigned",0.192734172723095,0.582798322697663,-0.0529354890536108,0.55042735042735,4864,8210.5,13074.5
"POLE4","M38",0.233379396268718,0.478096447500738,1.57125795343475,0.573593073593074,"M38",0.263478665012949,0.64979606281371,0.0278625866135502,0.536752136752137,6682.5,6392,13074.5
"GPCPD1","M6",0.505027044000565,0.718891815212589,-0.57757246261699,0.470779220779221,"M6",0.0621923558719177,0.385064349249617,-0.0672769453836436,0.594700854700855,485,12587,13072
"LYRM2","unassigned",0.542443305033762,0.746612327280794,0.989475531272489,0.576839826839827,"unassigned",0.590208658863147,0.853104906883071,0.0250640026313829,0.534871794871795,6918.5,6151.5,13070
"DXO","unassigned",0.116778492125739,0.327390603597854,-2.68079436927664,0.619047619047619,"unassigned",0.809261330011481,0.93800504741498,-0.033682473912314,0.514358974358974,9758.5,3306.5,13065
"ZNF767P","unassigned",0.0218773397234224,0.131842404792993,2.04120863236767,0.643939393939394,"unassigned",0.757937659486599,0.922584712251024,-0.0453134004234417,0.501880341880342,11114.5,1949,13063.5
"MIER2","unassigned",0.891636308684705,0.951509495685828,0.185213907444292,0.538961038961039,"unassigned",0.615688158943343,0.863950298806759,-0.0492700148165905,0.557777777777778,3937,9125.5,13062.5
"SLC1A1","M25",0.466304123615489,0.689462075610831,0.164461907495016,0.558441558441558,"M25",0.538980229088209,0.824812235336316,0.0274698638895762,0.545641025641026,5475,7587.5,13062.5
"CDHR3","unassigned",0.346219815540445,0.59128029083992,2.01587009541678,0.444805194805195,"unassigned",0.0180185168660011,0.244603991428595,0.4434218419371,0.60034188034188,128.5,12933.5,13062
"LRRC27","unassigned",0.130880407798589,0.349221267883841,2.78484842957789,0.5995670995671,"unassigned",0.547618910812797,0.828809682369035,-0.107260516071506,0.523589743589744,8511,4550,13061
"WDHD1","unassigned",0.960760909811945,0.983295325637981,-0.0516214562430701,0.525974025974026,"unassigned",0.187030509333955,0.576484693240757,-0.211859507240364,0.565641025641026,2955,10101.5,13056.5
"PCDHGA8","unassigned",0.0158799343453136,0.110324861889327,3.50548597177355,0.682900432900433,"unassigned",0.454769670231399,0.781347711406407,3.30377237574124,0.475726495726496,12677.5,375.5,13053
"RRAS","unassigned",0.0971493740114629,0.297455929423429,-1.43113016107608,0.634199134199134,"unassigned",0.675548690594373,0.887309262616502,0.00990649161872865,0.507179487179487,10596,2455.5,13051.5
"TMEM170B","unassigned",0.0907999954752707,0.286839871373716,-2.0787434284226,0.627705627705628,"unassigned",0.506372140799549,0.808229721560263,0.444263015141551,0.51042735042735,10248.5,2803,13051.5
"MPZ","M8",0.329879864568548,0.574286706120497,1.39923890007763,0.573593073593074,"M8",0.257388234455134,0.644819880488533,0.236654454832138,0.536581196581197,6682.5,6366.5,13049
"PTGER3","unassigned",0.586288134782214,0.77668902592161,1.80013082127984,0.477272727272727,"unassigned",0.0438526315821007,0.337532357567529,-0.942859162241756,0.591965811965812,635.5,12410,13045.5
"UTP18","unassigned",0.18710645385217,0.424614276841461,-1.4357093160581,0.612554112554113,"unassigned",0.816494181212201,0.940718215087847,0.0126584420110108,0.517435897435897,9369,3676.5,13045.5
"FMR1","unassigned",0.811088756289641,0.908932826059045,0.19417494364879,0.518398268398268,"unassigned",0.238834734569157,0.62853611841455,-0.0416119706123684,0.57025641025641,2454,10591,13045
"SOCS2-AS1","unassigned",0.350467343266046,0.59440380011124,1.40593818759982,0.566017316017316,"unassigned",0.614454310806662,0.862980731562455,0.31472216939219,0.541367521367521,6052.5,6991,13043.5
"ELMSAN1","unassigned",0.191270841067583,0.429601464965302,1.83372618802528,0.58008658008658,"unassigned",0.350206592618462,0.719971862991171,0.0471279003849878,0.533162393162393,7160.5,5882,13042.5
"LYSMD4","M36",0.484227655175061,0.703947211458076,0.556387219657879,0.561688311688312,"M36",0.163206951926263,0.547450539578759,0.292316152767199,0.543760683760684,5724.5,7317,13041.5
"MROH6","unassigned",0.535820816961106,0.741960175189826,-0.531832323011365,0.556277056277056,"unassigned",0.263527970065528,0.64979606281371,0.0600704245359179,0.546837606837607,5295,7744,13039
"ZBTB17","M6",0.191520315830097,0.429854886942294,-2.02893947473831,0.593073593073593,"M6",0.907855857046468,0.973188565550537,-0.00708701742890707,0.526324786324786,8097,4942,13039
"EXOG","unassigned",0.463586128408257,0.687486543394505,1.7066263856392,0.496753246753247,"unassigned",0.0771602165355187,0.41108090136836,-0.224055715710102,0.583589743589744,1268,11770,13038
"NET1","M20",0.0573487617588408,0.223221646549074,1.07992536691613,0.637445887445887,"M20",0.965005721256234,0.99003948901802,-0.000321771012246054,0.505299145299145,10779.5,2258.5,13038
"AC022101.1","unassigned",0.395687929328379,0.634982644177294,0.718415362263411,0.635281385281385,"unassigned",0.635479761616354,0.871718631807541,0.387586740816564,0.506324786324786,10671.5,2365.5,13037
"USP40","unassigned",0.0906466155923055,0.286704326694424,1.59815150949588,0.609307359307359,"unassigned",0.542790774941768,0.826300054896235,0.0489651268648162,0.518974358974359,9165.5,3871,13036.5
"NRN1","M8",0.00670674236631264,0.0699683832523155,-1.99349975635272,0.69047619047619,"M8",0.338369899504727,0.711875572778536,-0.1772525867582,0.463333333333333,12911.5,122,13033.5
"SAC3D1","unassigned",0.283005604843232,0.528484083176078,0.794347512869032,0.575757575757576,"unassigned",0.420673625076558,0.76444627449257,0.097277257010788,0.535213675213675,6837,6195.5,13032.5
"SPAG8","unassigned",0.675519184355172,0.834355703848755,-0.447792324348967,0.545454545454545,"unassigned",0.431778079530872,0.770113372073271,-0.380984503121939,0.553504273504274,4429.5,8602.5,13032
"P3H4","unassigned",0.0262801589688525,0.146335441088927,-1.85765241152367,0.686147186147186,"unassigned",0.455852681795114,0.78198437707669,-0.0789293554111451,0.472136752136752,12773.5,258,13031.5
"WDR90","M20",0.0190770816769876,0.12207624804611,5.52154818376807,0.655844155844156,"M20",0.955908098926275,0.988042739632431,-0.00173921208466329,0.495042735042735,11681,1347,13028
"JAG2","M10",0.693290747132551,0.84498690957291,-0.295501966983525,0.482683982683983,"M10",0.160844479292465,0.544623847836523,-0.171409884300328,0.58974358974359,780.5,12247,13027.5
"LEMD1-AS1","unassigned",0.342072050811853,0.58751378982525,1.85757062822595,0.613636363636364,"unassigned",0.644705576163781,0.875648570412007,-2.22921310416116,0.516752136752137,9438.5,3588,13026.5
