"Gene","Module","p","p.adj","coef","AUC"
"GRIN3A","unassigned",0.183015431355852,0.419139446679703,0.888760967028709,0.55952380952381
"CHAC2","unassigned",0.253707797522722,0.498368223050506,-0.856960737575721,0.55952380952381
"NBPF8","unassigned",0.156656852292728,0.385731939529166,2.20768352973929,0.55952380952381
"THEM6","M22",0.585935979939244,0.776426876871472,0.392604727230605,0.558982683982684
"BRWD3","unassigned",0.65081787668652,0.818151736621461,0.772051001850379,0.558441558441559
"SHISAL2A","M6",0.432928313098958,0.66466856385881,-1.06664150975891,0.558441558441559
"B9D1","unassigned",0.232303579158707,0.477384765689483,-1.31579423779557,0.558441558441559
"AQR","unassigned",0.485869191224222,0.705458226493281,0.915921067246814,0.558441558441559
"N4BP2L2-IT2","unassigned",0.611954842211343,0.79365419505896,0.873690790506991,0.558441558441559
"FHOD1","unassigned",0.326859957605418,0.571496250908806,1.17716476291753,0.558441558441559
"PRRX2","M20",0.635692588640448,0.808115148042157,-0.595719076090422,0.558441558441559
"UBE2J2","unassigned",0.444333410795981,0.672723093503705,-1.02735632580939,0.558441558441559
"SLU7","unassigned",0.26960982065683,0.515711160052448,-1.04620774119144,0.558441558441559
"ZNF879","unassigned",0.542151796536066,0.746406616729411,0.696222923190393,0.558441558441559
"CRYZL1","unassigned",0.467240506830054,0.690003373573366,0.822489304947697,0.558441558441558
"BRWD1","unassigned",0.344752978243333,0.590341163219315,1.47381579694716,0.558441558441558
"PLCXD2","unassigned",0.577354125010697,0.770989132047542,0.459495837828555,0.558441558441558
"FAM98B","unassigned",0.512471675976657,0.724978551899784,0.885526853893084,0.558441558441558
"FAM126B","unassigned",0.864188777096661,0.936721813634217,0.133648284455503,0.558441558441558
"C11orf53","M20",0.419209251735926,0.653492796883487,0.971511264761836,0.558441558441558
"MBTPS2","unassigned",0.449689561467105,0.676534396204313,-1.49152307332418,0.558441558441558
"SMC1A","M37",0.558273920247961,0.757186383683727,0.950318569652747,0.558441558441558
"OTUB2","unassigned",0.324175681847616,0.569525220572004,-0.772600634851264,0.558441558441558
"CDKN3","unassigned",0.32085987466737,0.565912196528714,-0.574863355139301,0.558441558441558
"WARS2","unassigned",0.469661340271044,0.692083869320147,0.616275631709404,0.558441558441558
"COQ10B","unassigned",0.485694639232021,0.705309734746419,-1.01156034191713,0.558441558441558
"GPR89B","unassigned",0.213908469921859,0.455779778298689,1.23461803106118,0.558441558441558
"AL591368.1","unassigned",0.276371095852906,0.522229813391441,2.27554278847923,0.558441558441558
"PLD4","M6",0.271253411203735,0.517345083645392,1.82555744116473,0.558441558441558
"SREK1","unassigned",0.514615490496298,0.72604243433318,1.85695058914867,0.558441558441558
"LRRD1","unassigned",0.250182331705783,0.495357237588149,-3.06808813777064,0.558441558441558
"C1D","unassigned",0.356481302693758,0.599913511867685,-0.941757683114146,0.558441558441558
"COPS6","unassigned",0.370801478331426,0.612897903812001,-1.15839114857332,0.558441558441558
"ACSL3","unassigned",0.479073981204677,0.699986497944112,0.31999384668853,0.558441558441558
"MYOF","unassigned",0.411132388574821,0.64796606612158,-0.425196688125768,0.558441558441558
"METAP2","M6",0.437850271798517,0.667987092640047,-0.953858269176344,0.558441558441558
"PPL","unassigned",0.364583758149308,0.607343564068044,-0.454303465130836,0.558441558441558
"PLCB2","M6",0.297540019043029,0.543718708508594,1.69659425965846,0.558441558441558
"NPR2","unassigned",0.474207530256767,0.695784537631407,-1.09481374397116,0.558441558441558
"C9orf16","M38",0.661445318215256,0.82584873076454,-0.492712188826911,0.558441558441558
"ZBTB11","unassigned",0.223732728431464,0.467143920502556,-1.90149359651017,0.558441558441558
"MTERF1","unassigned",0.477388118680309,0.698627469020913,0.700679762879487,0.558441558441558
"WISP2","M10",0.587351281908168,0.777250895536053,0.448885922057233,0.558441558441558
"CPM","M18",0.774637141528404,0.889470653533944,0.107453163854164,0.558441558441558
"SLC1A1","M25",0.466304123615489,0.689462075610831,0.164461907495016,0.558441558441558
"ANGPTL7","M8",0.48463487171023,0.704316908170582,0.920771092224669,0.558441558441558
"ASS1","M20",0.358638423697208,0.602276386364602,0.385339926504672,0.558441558441558
"GLMN","unassigned",0.320219401955552,0.565036007780892,-0.711409311349808,0.558441558441558
"TCF15","M10",0.617745422258418,0.797154626852298,-0.255163225047887,0.558441558441558
"MEF2A","unassigned",0.226131895253709,0.470244869610803,-1.19883325397642,0.558441558441558
"MSR1","unassigned",0.578021280973768,0.77133254674102,-1.19567979237569,0.558441558441558
"PSMC5","unassigned",0.759754633938225,0.881272411392774,-0.362683491490986,0.558441558441558
"CORT","unassigned",0.523920485833959,0.7325843144739,0.699307304824817,0.558441558441558
"CLIP3","M8",0.424626802535757,0.658384889269987,-1.09631274439587,0.558441558441558
"MSL1","unassigned",0.394406003197459,0.633943173888262,-1.64053561932527,0.558441558441558
"MARCH3","unassigned",0.80267377067853,0.904193635966669,0.181163029116525,0.558441558441558
"NFKBIB","unassigned",0.411985882283047,0.648791143615343,-1.22304709826402,0.558441558441558
"RALA","M20",0.463163682501343,0.687079275871322,-0.794040552242087,0.558441558441558
"ZNF273","unassigned",0.604151739729769,0.788044312887694,0.578525803593631,0.558441558441558
"NGRN","unassigned",0.415271989972371,0.650903151995558,-1.55937601811885,0.558441558441558
"ZNF302","M26",0.467086518058998,0.68984073638967,0.574518950318069,0.558441558441558
"SPOUT1","unassigned",0.491793802891624,0.709802232123542,-0.909053489294553,0.558441558441558
"ICE2","unassigned",0.57165769685792,0.76702184625524,-0.671353825800304,0.558441558441558
"SLC25A22","unassigned",0.663005588961362,0.82699563114776,0.331023828768606,0.558441558441558
"SLC38A7","M6",0.988343016938486,0.994794094415143,0.0256934371680015,0.558441558441558
"CORO7","unassigned",0.378636441469721,0.620242927294026,1.05764917372553,0.558441558441558
"PRMT7","unassigned",0.61424805479032,0.79466258050641,0.516583961918389,0.558441558441558
"EBLN2","unassigned",0.175689777336668,0.410125335073977,1.02471846972973,0.558441558441558
"MRNIP","unassigned",0.344849423600325,0.590341163219315,1.2755369268811,0.558441558441558
"TSPAN14","M32",0.302639468233279,0.548413916417584,-1.46993920706476,0.558441558441558
"G6PC3","unassigned",0.717375314059575,0.859113469989574,-0.515505944176285,0.558441558441558
"SGF29","unassigned",0.629885499568711,0.804504183736602,0.617438889412388,0.558441558441558
"CHMP4B","M21",0.539014805885607,0.744103299170794,0.38225214078575,0.558441558441558
"TMED8","M6",0.30217693977686,0.547889462334321,-1.22525047223711,0.558441558441558
"ZNF513","M38",0.601296721008432,0.786395404640871,0.562856004532553,0.558441558441558
"ZFAND2A","unassigned",0.466781366134928,0.689649080211938,0.274272325544371,0.558441558441558
"SVBP","unassigned",0.442008510045905,0.671141215803847,-0.799571168973322,0.558441558441558
"TPGS1","unassigned",0.494090885312562,0.711224996346783,0.913631734911013,0.558441558441558
"ZSWIM3","unassigned",0.413993829749497,0.650122458677766,0.92759213617727,0.558441558441558
"LDHD","M16",0.434516884368729,0.66543381238822,0.333008748447437,0.558441558441558
"BBS12","unassigned",0.313059674731688,0.558543060782069,-0.581114536406564,0.558441558441558
"NDUFAF6","unassigned",0.3922501509497,0.632141662324573,0.86455378030416,0.558441558441558
"ANKRD23","unassigned",0.578269690818179,0.771467681669138,-0.687901468833414,0.558441558441558
"DNAJC21","unassigned",0.410833975030504,0.647874748983571,1.30822788042523,0.558441558441558
"LINC00865","unassigned",0.356297081025367,0.599852298234969,0.931242525034392,0.558441558441558
"CYP8B1","unassigned",0.605086636454558,0.788868105858581,0.756634725881189,0.558441558441558
"KCTD11","unassigned",0.553072707073985,0.753389243489917,-0.350458541959589,0.558441558441558
"LYG1","unassigned",0.499432104102011,0.714857363310631,-0.90600698051938,0.558441558441558
"KCTD6","unassigned",0.771907319762126,0.888001870025721,-0.19373027414231,0.558441558441558
"ZNF674-AS1","unassigned",0.41719246179363,0.652353139631376,1.09636643736358,0.558441558441558
"NAF1","unassigned",0.288239341200501,0.53368831167211,-0.74099445859288,0.558441558441558
"CYTOR","unassigned",0.377030416423362,0.618772059674778,-1.32771754336459,0.557900432900433
"SNUPN","unassigned",0.517597583066412,0.728071220179896,0.738574810013986,0.557900432900433
"MICU1","M38",0.239537621718464,0.485245134716697,1.13767149576385,0.557900432900433
"ARL14","M20",0.421875506452624,0.655837070851563,0.350084154180714,0.557900432900433
"CDCA5","M34",0.359134116015135,0.602657747071473,0.634341691766947,0.557900432900433
"JMJD8","unassigned",0.55785406072596,0.756812706672298,1.03295409733543,0.557900432900433
"RHEBL1","M6",0.341454540499957,0.586709467721633,-1.31791611693255,0.557359307359307
"SART3","unassigned",0.325295613798601,0.570346082871273,1.83706818278986,0.557359307359307
"NPAS3","unassigned",0.395059655101482,0.634459190840433,2.53690749462666,0.557359307359307
"PPHLN1","unassigned",0.25628599586866,0.501570539880324,-2.18008686878809,0.557359307359307
"UGGT2","unassigned",0.268285551777976,0.514303893225567,-2.27199919162708,0.557359307359307
"IMMP2L","unassigned",0.731473491602731,0.867462061614708,-0.408546223290821,0.557359307359307
"PTCD2","unassigned",0.440947423319369,0.670500968811906,0.85108417928491,0.557359307359307
"NTRK3","M9",0.245864717912783,0.49142666896331,2.5457307016834,0.557359307359307
"UACA","unassigned",0.305986604420384,0.551933864785346,1.74762319247323,0.557359307359307
"SLC9A5","unassigned",0.380273935945339,0.621530298443665,1.80333499010405,0.557359307359307
"PTPRB","unassigned",0.588394173427239,0.778241839374121,0.65411717494577,0.557359307359307
"LINC00880","unassigned",0.355979962340178,0.599577684901067,1.27255833312307,0.557359307359307
"JAK2","M20",0.442690959268317,0.671464426068598,-0.452030731812218,0.557359307359307
"SSBP1","M38",0.285919203936514,0.530896370997217,2.33349041654552,0.557359307359307
"SNRK","unassigned",0.500254368280405,0.71527046794991,1.13285699216898,0.557359307359307
"FRMD5","unassigned",0.315325975628953,0.560509495979318,1.17520786469253,0.557359307359307
"SLC29A4","unassigned",0.361184120835017,0.604512683796574,0.763102509831314,0.557359307359307
"CCDC91","unassigned",0.793196271986505,0.89906695021818,-0.232590481919619,0.557359307359307
"RPL24","M38",0.452938287039477,0.67973154439881,-1.03773551952959,0.557359307359307
"PSMB2","M28",0.586430089124868,0.77668902592161,-1.05200927171204,0.557359307359307
"SRSF11","unassigned",0.537217012417544,0.74304918797998,0.635267164111292,0.557359307359307
"ODC1","unassigned",0.38788389232717,0.628842067863745,-0.380650791711492,0.557359307359307
"ACTB","M20",0.438664744924968,0.668671639453172,-0.908955380925478,0.557359307359307
"STAG1","unassigned",0.685654156993184,0.840974285351356,0.485931034701307,0.557359307359307
"NAA10","unassigned",0.304549076951908,0.55047718126598,-1.17013655437142,0.557359307359307
"FOXK2","unassigned",0.593853555175801,0.782174055381023,1.5452438955647,0.557359307359307
"MYO1E","M20",0.279993944130494,0.525299234167626,0.681571545008171,0.557359307359307
"LMNB1","M29",0.501356968739342,0.715918634707319,-0.237461816948443,0.557359307359307
"CEP57","unassigned",0.228395850520807,0.472689254321285,-0.870402852666944,0.557359307359307
"TAF6","unassigned",0.365548021178669,0.608406921799335,-1.03997473585095,0.557359307359307
"SNRPF","M30",0.399467907584037,0.637847034481694,-0.538446954728024,0.557359307359307
"PCCA","M16",0.776835308543025,0.890651109269863,0.207653492508996,0.557359307359307
"CLCN6","unassigned",0.37730641272654,0.619114744150305,0.893658786036091,0.557359307359307
"SLC31A1","unassigned",0.416109116481097,0.651809708118685,0.511907919453475,0.557359307359307
"RLF","unassigned",0.245087993773436,0.490719766082781,-0.884349389299785,0.557359307359307
"TBC1D8","unassigned",0.288593215283278,0.533907631520899,-0.68785734167085,0.557359307359307
"SLC25A14","unassigned",0.482507310162187,0.702718285327873,-0.895021723353858,0.557359307359307
"FXN","unassigned",0.472019537575745,0.694324032481988,-0.877352526934866,0.557359307359307
"HSD17B1","unassigned",0.509492490547916,0.722912157126989,1.22782969233148,0.557359307359307
"HCP5","M7",0.239927566668373,0.485503756095052,0.789181965027915,0.557359307359307
"SULT2A1","M11",0.754108723976671,0.878149604870048,0.0482414984856149,0.557359307359307
"AJAP1","M20",0.277316122579653,0.523010226865151,-2.30069865460714,0.557359307359307
"TBX10","M20",0.449589901700154,0.676513877723307,0.445845444590079,0.557359307359307
"TANC2","unassigned",0.100186441651924,0.302145247149719,-2.66361096745239,0.557359307359307
"NECTIN1","M20",0.235460623349522,0.480768004896605,1.86948782513528,0.557359307359307
"HNRNPUL1","M35",0.451098450831197,0.677875946605894,-0.799534585611985,0.557359307359307
"DUSP6","unassigned",0.375656188930923,0.617366835209076,-0.394407174553407,0.557359307359307
"C1QBP","M30",0.368845403343617,0.611399446642613,-0.528630803839871,0.557359307359307
"KYAT3","unassigned",0.420783635249215,0.654714195156286,-0.623733826342437,0.557359307359307
"CDH8","unassigned",0.42816245523188,0.660769942929968,-2.32373127212034,0.557359307359307
"ANKRD40","unassigned",0.418605916001826,0.653273048225379,1.72094136738287,0.557359307359307
"YARS","unassigned",0.232808790186098,0.477861080626012,-1.90559468681035,0.557359307359307
"TMEM87A","unassigned",0.478961090699964,0.699886565925282,0.892151473404209,0.557359307359307
"CMTR1","M6",0.237156112525318,0.482565135046666,-1.54860886240924,0.557359307359307
"MTG1","unassigned",0.535299285392459,0.741564423105336,0.628713686177105,0.557359307359307
"TTI1","unassigned",0.610286271949408,0.793256158292062,-0.501457188235123,0.557359307359307
"ZNF23","unassigned",0.461443910494776,0.685679873580427,-0.603023143290693,0.557359307359307
"DNM1","M20",0.360819521483992,0.604272812331954,-1.06234585588581,0.557359307359307
"USP53","unassigned",0.419646884610265,0.653741363334322,0.332154824089054,0.557359307359307
"STUB1","unassigned",0.534281100378813,0.740863062407356,0.964444841891373,0.557359307359307
"ASF1B","M34",0.454457907594071,0.680648298281008,0.553970048579347,0.557359307359307
"HIST2H2AA3","unassigned",0.410881237991669,0.647874748983571,1.14742282359407,0.557359307359307
"HEBP1","M11",0.773249592840358,0.8887426266559,-0.0522909881258314,0.557359307359307
"PODXL2","unassigned",0.396136021919188,0.635344497681953,0.822484376082696,0.557359307359307
