	22	29	15	24	36	5	20	25	3	31	38	52	10	4	43	46	28	23	32	37	48	12	14	35	50	6	21	30	42	75	26	55	57	58	60	64	65	66	71	72	73	78	81	85	86	90	92	96	11	13	56	59	61	67	68	69	74	76	77	80	82	83	84	87	89	91	93	94	95	47	16	19	45	8	1	34	9	18	2	40	33	17
Keratinocytes	0.0287	0.0041	0	0	0.0404	0.0387	0.025	0.0208	0.0288	0.0423	0.0169	0.0307	0.0265	0.0296	0.0196	0.0116	0.0217	0.0396	0.0381	0.0377	0.0239	0.0259	0.0308	0.0324	0.0193	0.0257	0.0054	0.0275	0.015	0.0357	0.0395	0.0327	0.0403	0.0522	0	0.0376	0.0363	0.0474	0.0386	0.0444	0.0591	0.0364	0.0348	0.0465	0.0361	0.0423	0.0482	0.0575	0.0043	0.033	0.0419	0.0378	0.0476	0.041	0.0361	0.0403	0.0478	0.0622	0.0467	0.0592	0.0548	0.0539	0.0352	0.0369	0.0375	0.0436	0.0337	0.0592	0.0352	0.0092	0	0.0295	0.0145	0.0079	0.0151	0	0.0152	0.0259	0	0.0428	0.0476	0.0331
ly Endothelial cells	0.0586	0.114	0.0756	0.0892	0.0318	0.025	0.0252	0.0652	0.0146	0.0229	0.0503	0.0467	0.0755	0	0.0169	0.0294	0.0273	0.0315	0.008	0.0119	0.0371	0.0167	0.0113	0.0146	0.0421	0.0152	0.1086	0.0211	0.0241	0.0129	0.0226	0.0168	0.0105	0.0144	0.0641	0.0141	0.0178	0.0195	0.0044	0.0213	0.0163	0.011	0.0199	0.0206	0.0158	0.0243	0.0112	0.0114	0.0406	0.0302	0.0221	0.0367	0.0052	0.0233	0.0055	0.0176	0.0152	0.0069	0.0267	0.0187	0.0135	0.0146	0.0279	0.0184	0.0106	0.0212	0.0077	0.0201	0.013	0.0158	0.1773	0.0474	0.0529	0.0355	0.0272	0.1101	0.0711	0.0263	0.1305	0.0428	0.0204	0.0472
Macrophages	0	0	0	0.0053	0	0	0	0	0	0	0	0.004	0	0	0.0043	0	0.0031	0	0	0	0.0076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0011	0	0	0	0	0	0.0023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0039	0	0	0	0.0067	0.0119	0	0	0	0	0	0	0	0	0	0.0038	0	0	0	0	0	0	0	5e-04	0
Macrophages M1	0.0013	0.0084	0.0026	0.0072	0.0025	0	0.0013	0	0	7e-04	0	0.0052	0	0	0.0074	0.0054	0.0119	0.0044	0.0014	0	0.0048	0.002	0	0	0.0056	0.0021	0	0.0025	0.0063	0.0023	0.0021	0.0088	0.0025	0.0039	0	0.0092	0.0084	0.0078	0.0069	0.0054	0.006	0.0102	0.0065	0.008	0.007	0.0011	0.0041	7e-04	0.0036	0	0.0121	0.0103	0.0073	0.0013	0.0061	0.008	0.0068	0.0117	0.0094	0.0075	0.0024	0.0071	0.0136	0.0065	0.0012	0.0075	0.0042	0.0066	0	0.002	0	7e-04	0.0026	0.0033	0	0	0	0	0.0062	0.0163	0.0095	0.0023
Macrophages M2	4e-04	0.0139	0.0077	0.003	0	0	0	0	0.0072	0.0013	0.0032	0.0115	7e-04	0.0101	0.0086	0	0.01	9e-04	0	0	0.0155	0	8e-04	0	0	0.0106	0	0	0.0051	0	0	0	0	2e-04	0	0	0	0	0.001	0.0021	7e-04	0	0	0	0	0	8e-04	0	0	0	0.0013	0.0022	0	0	0.0109	0.0028	0	0.0021	3e-04	3e-04	0	0.0062	0	0	0	1e-04	0	6e-04	0	4e-04	0.0045	3e-04	0	0	0	0.0077	0	0	0.0135	4e-04	0	1e-04
Mast cells	0.009	0.0129	0.0272	2e-04	0	0	0.0042	0	0.0174	0.0029	0.0032	0.0073	0.0069	0	0.0023	0.0128	0	0.0037	0	0.0099	0.0035	0.0042	0.0106	0.0077	0.0151	0	0.0132	0.0029	0.0088	0.0015	0.01	5e-04	0	0	0	0.0037	0	0	1e-04	0.0069	0	0	0.0022	0.0044	0.0031	0	0	0.0029	0.0102	0.0033	0.0074	0.0032	0	1e-04	0	2e-04	0.0017	0	0	0	0	0	0	0	0	0	0.0026	0	0	0.005	0.0143	0.0026	0.0394	0.032	0.0198	0.0089	0.0344	0.0045	0	0	0.0067	0.0025
Megakaryocytes	0	0	0	8e-04	0	0	0	0	0.003	0	0	0.0018	0.0046	0	0	6e-04	0	0	0	0	0	0	0	0	0.0024	0	0	0	0.0029	7e-04	0	0	0	1e-04	0.0026	0	0.0015	7e-04	0	0.001	0	0	0.0032	0	9e-04	0.0033	0	0	0.0013	0	0	0	0	0	0	0	0.0011	0.0025	0.0014	0.0014	5e-04	0	0	0	0.0018	0	0	0	0	0	0.0055	0.003	0	4e-04	0	0	8e-04	0	0.0148	0.001	1e-04	0.0028
Melanocytes	0	0	0.0045	0.008	0.0026	6e-04	0	0.0024	0.002	0.0026	0	9e-04	0.0013	0	0	0	0	0.0011	0.0013	0	0	0	0.002	0	0.0022	0	0.0168	0.0023	0	0	0	0.0021	0	0	0.0026	0	0	0	8e-04	5e-04	0.0016	0	0.0015	0	0	0.0011	0	0	0.0035	0.0042	0.0011	0	0	0	0	0	0	0.0015	0	5e-04	0.0013	0	0	0	0	6e-04	0.001	0.0025	4e-04	0.0044	0.0043	0	0.0014	0.0022	4e-04	0.0038	0.0068	8e-04	0.0107	0	1e-04	0
Memory B-cells	0.2554	0.0247	0.3278	0.1706	0.1751	0.0818	0.2292	0.068	0.1399	0.0736	0.2726	0.0699	0.0711	0.0206	0.1588	0.424	0.0921	0.1883	0.1459	0.1659	0.1222	0.041	0.0431	0.1854	0.2444	0.0638	0	0.2306	0.3653	0.1846	0.0698	0.0654	0.0658	0.0923	0	0.0664	0.0171	0.0395	0.0556	0.0622	0.0448	0.0471	0.0836	0.0726	0.0372	0.2255	0.0238	0.1913	0.3174	0.0955	0.0549	0.0474	0.0831	0.0405	0.0505	0.0326	0.0568	0.0639	0.0175	0.1592	0.051	0.0535	0.0245	0.1097	0.0915	0.0716	0.0265	0.1084	0.1379	0.4585	0	0.0781	0.3287	0.4001	0.4639	0.1584	0.3548	0.1761	0.1132	0.0722	0.0628	0.0205
MEP	0.0275	0.0311	0	0.0098	0.0236	0	0.044	0	0.0014	0.0407	0.014	0.0169	0.0297	0	0.0048	0.0142	0.0543	0.0475	0.0302	0.0243	0.0485	0.0112	0.0306	0	0.0059	0.0045	0.0053	0.0014	0	0.021	0.0319	0.0331	0.0231	0.0544	0.0019	0.0491	0.0353	0.0524	0.0354	0.0467	0.0532	0.0303	0.0045	0.044	0.0312	0.0852	0.0536	0.0383	0	0.0234	0.0296	0.0431	0.0566	0.0425	0.0136	0.0433	0.0213	0.0934	0.084	0.0468	0.0376	0.0165	0.0138	0.059	0.0215	0.0377	0.0317	0.0411	0.0761	0.0478	0.0464	0.0199	0.0236	0.0312	0.0085	0.016	0.0027	0.0294	0	0.047	0.0572	0.0456
Mesangial cells	0.0178	0.0127	0	0	0.008	0.0092	0.0143	0	0	0.0067	0	0.0323	0.0081	0	0.0141	0.0118	0.0041	0.0111	0.0072	0.0098	0.0155	0	0	0	0	0.0197	0	0.0027	0.0134	0.0083	0	0.0273	0.0093	1e-04	9e-04	0.0184	0	0.0053	0.0088	0.0171	0	0.022	0.0069	0.0083	0.0138	3e-04	0.0092	0.0231	0.006	0	0.0109	0.0155	0.0126	0.006	0.0047	0.0038	0.006	0	8e-04	0.0011	0.0035	0	0	0.0171	0.0044	0	0.0061	0.0046	0	0	6e-04	4e-04	8e-04	0	5e-04	0	0.0044	0.0042	0	0.0137	0	0.0181
Monocytes	0	0	0.0158	0.0565	0	0	0	0	0	0.0232	0	0.0028	0.0461	0	0.0214	0	0	0	0	0	0.0222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0053	0	0	0.0789	0	0	0.0518	0	0	0
MPP	0.0546	0	0.0702	0.0466	0.0482	0.0315	0.0973	0.0096	0	0	0.0653	0.0154	0	0	0.0749	0.0989	0.0285	0.0691	0.0626	0.0718	0.0616	0.0228	0.0115	0.0261	0.0723	0.0705	0	0.0836	0.0909	0.0836	0	0.0099	0.0326	0.0058	0	0.0196	0	0	0.0064	0.0114	0	0	0.0515	0.0191	0	0.0556	0	0.106	0.0615	0	0.0327	0	0.0463	0	0.0509	0.0067	0.016	0.0111	0	0.074	0.0091	0.0362	0	0.0871	0.0737	0.034	0	0.0462	0.0502	0.0912	0	0	0.1055	0.0853	0.0667	0.0116	0.0622	0.0611	0	0	0.0252	0
